city1,city2,Year,quarter,fare
"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2025,3,161.24
"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",2025,3,179.32
"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2025,3,371.13
"New York City, NY (Metropolitan Area)","Orlando, FL",2025,3,161.94
"Chicago, IL","New York City, NY (Metropolitan Area)",2025,3,210.8
"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2025,3,203.86
"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2025,3,371.13
"Los Angeles, CA (Metropolitan Area)","Seattle, WA",2025,3,203.36
"Chicago, IL","Los Angeles, CA (Metropolitan Area)",2025,3,248.26
"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",2025,3,142.43
"San Francisco, CA (Metropolitan Area)","Seattle, WA",2025,3,191.92
"San Diego, CA","San Francisco, CA (Metropolitan Area)",2025,3,148.78
"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",2025,3,239.03
"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2025,3,190.71
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",2025,3,229.87
"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",2025,3,147.37
"Denver, CO","Los Angeles, CA (Metropolitan Area)",2025,3,182.32
"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2025,3,159.55
"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2025,3,184.05
"Chicago, IL","Washington, DC (Metropolitan Area)",2025,3,192.68
"Orlando, FL","Washington, DC (Metropolitan Area)",2025,3,152.24
"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2025,3,182.83
"Miami, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",2025,3,163.52
"Boston, MA (Metropolitan Area)","Chicago, IL",2025,3,184.05
"Chicago, IL","Dallas/Fort Worth, TX",2025,3,198.89
"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",2025,3,168.55
"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2025,3,288.63
"Denver, CO","New York City, NY (Metropolitan Area)",2025,3,262.33
"Las Vegas, NV","New York City, NY (Metropolitan Area)",2025,3,276.78
"Houston, TX","New York City, NY (Metropolitan Area)",2025,3,231.76
"Chicago, IL","San Francisco, CA (Metropolitan Area)",2025,3,269.56
"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2025,3,173.15
"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",2025,3,182.79
"Chicago, IL","Denver, CO",2025,3,182.99
"Los Angeles, CA (Metropolitan Area)","Portland, OR",2025,3,185.85
"Chicago, IL","Orlando, FL",2025,3,158.26
"Atlanta, GA (Metropolitan Area)","Chicago, IL",2025,3,196.47
"Boston, MA (Metropolitan Area)","Orlando, FL",2025,3,168.29
"New York City, NY (Metropolitan Area)","Seattle, WA",2025,3,330.21
"Charlotte, NC","New York City, NY (Metropolitan Area)",2025,3,185.14
"Houston, TX","Los Angeles, CA (Metropolitan Area)",2025,3,212.5
"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",2025,3,203.71
"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2025,3,343.52
"Chicago, IL","Miami, FL (Metropolitan Area)",2025,3,187.42
"Chicago, IL","Las Vegas, NV",2025,3,203.88
"Boston, MA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2025,3,353.27
"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC",2025,3,153.16
"Detroit, MI","New York City, NY (Metropolitan Area)",2025,3,191.41
"Denver, CO","San Francisco, CA (Metropolitan Area)",2025,3,223.41
"Dallas/Fort Worth, TX","Denver, CO",2025,3,179.87
"Denver, CO","Washington, DC (Metropolitan Area)",2025,3,235.59
"Nashville, TN","New York City, NY (Metropolitan Area)",2025,3,175.6
"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",2025,3,202.82
"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2025,3,179.27
"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2025,3,311.19
"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2025,3,208.88
"Chicago, IL","Houston, TX",2025,3,206.15
"Chicago, IL","Phoenix, AZ",2025,3,206.72
"Orlando, FL","Philadelphia, PA",2025,3,152.96
"Chicago, IL","Seattle, WA",2025,3,228.24
"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",2025,3,208.13
"Dallas/Fort Worth, TX","Las Vegas, NV",2025,3,199.96
"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2025,3,352.93
"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",2025,3,165.94
"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",2025,3,232.28
"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2025,3,320.76
"Denver, CO","Seattle, WA",2025,3,194.66
"Denver, CO","Phoenix, AZ",2025,3,165.41
"Denver, CO","Minneapolis/St. Paul, MN",2025,3,164.65
"Dallas/Fort Worth, TX","Orlando, FL",2025,3,179.39
"Portland, OR","San Francisco, CA (Metropolitan Area)",2025,3,189.11
"Los Angeles, CA (Metropolitan Area)","Orlando, FL",2025,3,230.84
"New York City, NY (Metropolitan Area)","San Diego, CA",2025,3,320.95
"Las Vegas, NV","Seattle, WA",2025,3,169.78
"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",2025,3,270.94
"Boston, MA (Metropolitan Area)","Denver, CO",2025,3,244.7
"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",2025,3,251.27
"Chicago, IL","Philadelphia, PA",2025,3,203.08
"Phoenix, AZ","Seattle, WA",2025,3,183.39
"New York City, NY (Metropolitan Area)","Phoenix, AZ",2025,3,286.1
"Houston, TX","Washington, DC (Metropolitan Area)",2025,3,225.17
"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",2025,3,201.87
"Austin, TX","New York City, NY (Metropolitan Area)",2025,3,270.37
"San Diego, CA","Seattle, WA",2025,3,203.55
"Atlanta, GA (Metropolitan Area)","Houston, TX",2025,3,182.47
"Miami, FL (Metropolitan Area)","Philadelphia, PA",2025,3,164.09
"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",2025,3,177.34
"Denver, CO","Las Vegas, NV",2025,3,161.13
"Seattle, WA","Washington, DC (Metropolitan Area)",2025,3,313.67
"Houston, TX","Miami, FL (Metropolitan Area)",2025,3,172.33
"Denver, CO","Houston, TX",2025,3,211.33
"Dallas/Fort Worth, TX","Seattle, WA",2025,3,242.79
"Chicago, IL","Minneapolis/St. Paul, MN",2025,3,196.66
"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",2025,3,204.47
"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",2025,3,246.71
"Chicago, IL","Tampa, FL (Metropolitan Area)",2025,3,176.2
"Fort Myers, FL","New York City, NY (Metropolitan Area)",2025,3,167.72
"Houston, TX","Las Vegas, NV",2025,3,215.12
"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",2025,3,194.22
"Dallas/Fort Worth, TX","Phoenix, AZ",2025,3,206.48
"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",2025,3,242.97
"Atlanta, GA (Metropolitan Area)","Orlando, FL",2025,3,184.4
"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2025,3,169.8
"Austin, TX","Los Angeles, CA (Metropolitan Area)",2025,3,237.66
"Las Vegas, NV","Washington, DC (Metropolitan Area)",2025,3,252.63
"Chicago, IL","San Diego, CA",2025,3,217.5
"Sacramento, CA","San Diego, CA",2025,3,153.73
"Atlanta, GA (Metropolitan Area)","Denver, CO",2025,3,228.32
"Houston, TX","Orlando, FL",2025,3,167.88
"Denver, CO","San Diego, CA",2025,3,178.68
"Boston, MA (Metropolitan Area)","Seattle, WA",2025,3,312.3
"Detroit, MI","Orlando, FL",2025,3,160.97
"Minneapolis/St. Paul, MN","Washington, DC (Metropolitan Area)",2025,3,209.14
"Los Angeles, CA (Metropolitan Area)","Nashville, TN",2025,3,268.07
"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA",2025,3,301.5
"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",2025,3,283.41
"Denver, CO","Orlando, FL",2025,3,208.1
"Minneapolis/St. Paul, MN","Seattle, WA",2025,3,230.73
"Boston, MA (Metropolitan Area)","Philadelphia, PA",2025,3,192.47
"Detroit, MI","Los Angeles, CA (Metropolitan Area)",2025,3,306.38
"Chicago, IL","Nashville, TN",2025,3,166.54
"Charleston, SC","New York City, NY (Metropolitan Area)",2025,3,186.53
"Jacksonville, FL","New York City, NY (Metropolitan Area)",2025,3,196.34
"Detroit, MI","Miami, FL (Metropolitan Area)",2025,3,169.14
"Austin, TX","San Francisco, CA (Metropolitan Area)",2025,3,271.16
"Boston, MA (Metropolitan Area)","Raleigh/Durham, NC",2025,3,179.73
"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2025,3,340.24
"Las Vegas, NV","San Diego, CA",2025,3,120.79
"New Orleans, LA","New York City, NY (Metropolitan Area)",2025,3,189.84
"Austin, TX","Chicago, IL",2025,3,209.0
"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",2025,3,199.24
"Atlanta, GA (Metropolitan Area)","Detroit, MI",2025,3,189.26
"Buffalo, NY","New York City, NY (Metropolitan Area)",2025,3,158.33
"Detroit, MI","Washington, DC (Metropolitan Area)",2025,3,192.6
"Dallas/Fort Worth, TX","San Diego, CA",2025,3,231.14
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2025,3,243.66
